image_id,product_id,image_url,sort_order
a1de8187-f3e3-57e4-b14c-bdcea9a6da31,47b73c21-7e3d-5a33-8edf-55f3b5ed8bcd,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492920/product-image/mousse/Mousse_MangoDelight_cut.png,1
0d39f3a4-652c-5ece-b9c7-6b6dc772e527,6239e932-344c-5dc0-b461-f0e426a9a70a,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492925/product-image/mousse/Mousse_MelonBreeze.png,0
a85a1630-7c32-5926-b810-247ab8fb13cf,6239e932-344c-5dc0-b461-f0e426a9a70a,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492926/product-image/mousse/Mousse_MelonBreeze_cut.png,1
2cf4b2f9-12e4-52e7-8506-9b9428fcc31a,35d8ca52-87ee-546b-a3ff-39dec9154309,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492916/product-image/mousse/Mousse_LycheeGarden.png,0
0a81daea-404e-5961-bc28-72ea3604fdaf,35d8ca52-87ee-546b-a3ff-39dec9154309,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492918/product-image/mousse/Mousse_LycheeGarden_cut.png,1
b4451014-8f28-58fb-b1ff-97fc868cabdf,4d447a82-d8df-578b-94a1-208b06faebe2,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492913/product-image/mousse/Mousse_DarkChocolate.png,0
da558b68-bbaf-59d8-93fc-0d6187f59c39,4d447a82-d8df-578b-94a1-208b06faebe2,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492915/product-image/mousse/Mousse_DarkChocolate_cut.png,1
94576aba-8677-5740-8c86-1772d0bfe285,57cde399-accc-5fec-ac8e-88454f214a88,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492701/product-image/banh-nuong/honey%20cake.png,0
cd40e901-8edc-51bb-a806-f3ebe72363f2,57cde399-accc-5fec-ac8e-88454f214a88,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492843/product-image/banh-nuong/matcha%20honey%20cake.png,1
cdc5e176-3eb6-5c1a-b41a-9e7e9c3049e5,f496fc62-4810-5ea1-b640-fe021b7b3a46,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492680/product-image/banh-nuong/banana%20chocolate%20cake%201.png,0
beb31927-00c9-55d6-aea0-1008ec68b8d5,f496fc62-4810-5ea1-b640-fe021b7b3a46,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492683/product-image/banh-nuong/banana%20chocolate%20cake%202.png,1
032906d5-6b5f-5490-85b3-3d16b5aa1160,5c1de8ee-3212-5330-b919-e6c202f2b87e,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492677/product-image/banh-nuong/banana%20almond%20cake.png,0
3ba77fa3-18ec-57b5-aec9-786349521eb0,e208c5a3-7cc2-5957-a47e-1f50c32a6c6f,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492843/product-image/banh-nuong/matcha%20honey%20cake.png,0
81f8347b-3c30-557b-8f97-9e2eb6c9fe23,ba17e8fb-3d06-5887-abff-13da123301c5,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492688/product-image/banh-nuong/croissant%201.png,0
aa03da36-c20d-53c2-89e8-2bccc381f494,d6da2ab8-9a99-519a-b7c4-2091867705e2,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492694/product-image/banh-nuong/croissant%202.png,0
